,Chicago Fed National Financial Conditions Index 7-step difference,BBG_Cocoa_Index 90-step difference,yield_spread_Chile_US_10Y 14-step return,US GBond 2Y 30-step return,S&P CLX IPSA 14-step difference,import_export_total_Chile 30-step return,BBG_Soybeans_Index 14-step return,BBG_Coffee_Index 30-step difference,yield_spread_30Y_6M 7-step return,Economic Policy Uncertainty Index for United States 60-step return,Consumer Price Index: All Items: Total: Total for Chile 30-step difference,import_export_total_US 60-step return,CLPUSD_wins
2014-12-31,,,,,,,,,,,,,0.001652
2015-01-01,,,,,,,,,,,,,0.001652
2015-01-02,,,,,,,,,,,,,0.001652
2015-01-03,,,,,,,,,,,,,0.001652
2015-01-04,,,,,,,,,,,,,0.001652
2015-01-05,,,,,,,,,,,,,0.0016355
2015-01-06,,,,,,,,,,,,,0.0016229999999999
2015-01-07,,,,,,,,,-0.07765511990864093,,,,0.001623
2015-01-08,,,,,,,,,-0.04243162946598622,,,,0.001629
2015-01-09,0.01788999999999996,,,,,,,,-0.0413766434648104,,,,0.001633
2015-01-10,0.01788999999999996,,,,,,,,-0.0413766434648104,,,,0.001633
2015-01-11,0.01788999999999996,,,,,,,,-0.044954306824810275,,,,0.001633
2015-01-12,0.01788999999999996,,,,,,,,-0.044770206022186954,,,,0.001628
2015-01-13,0.01788999999999996,,,,,,,,-0.013185002060156603,,,,0.001624
2015-01-14,0.01788999999999996,,0.02290286975717426,,-101.86000000000013,,-0.01394371031405528,,-0.023111844820470462,,,,0.0016175999999999
2015-01-15,0.01788999999999996,,0.0364238410596025,,-121.57000000000016,,-0.03179165951604612,,-0.06921241050119331,,,,0.001609
2015-01-16,0.015570000000000084,,0.021697335896731618,,-121.32000000000016,,-0.015603887896090352,,-0.04558289632916501,,,,0.0015998
2015-01-17,0.015570000000000084,,0.021697335896731618,,-121.32000000000016,,-0.015603887896090352,,-0.04558289632916501,,,,0.001599
2015-01-18,0.015570000000000084,,0.021697335896731618,,-121.32000000000016,,-0.015603887896090352,,-0.036605724988802546,,,,0.001599
2015-01-19,0.015570000000000084,,0.0013531799729364913,,-64.52999999999975,,-0.05117002058564046,,-0.023226876814599784,,,,0.0015988
2015-01-20,0.015570000000000084,,-0.0010908099263703397,,-27.879999999999654,,-0.0698361201231178,,-0.024634655532359107,,,,0.001595
2015-01-21,0.015570000000000084,,-0.004356112169888404,,29.389999999999873,,-0.06884796075333643,,-0.0021123785382339832,,,,0.0015931
2015-01-22,0.015570000000000084,,-0.010908099263703286,,80.01999999999998,,-0.06819990783796237,,0.023076923076923217,,,,0.001593
2015-01-23,0.009149999999999991,,-0.02208456773498524,,76.82999999999993,,-0.07553626575411065,,-0.018596787827557026,,,,0.001602
2015-01-24,0.009149999999999991,,-0.02208456773498524,,76.82999999999993,,-0.07553626575411065,,-0.018596787827557026,,,,0.001602
2015-01-25,0.009149999999999991,,-0.02208456773498524,,76.82999999999993,,-0.07553626575411065,,-0.03571428571428581,,,,0.001602
2015-01-26,0.009149999999999991,,-0.021580793094146178,,58.29999999999973,,-0.03198340320698456,,-0.010191082802547768,,,,0.001598
2015-01-27,0.009149999999999991,,-0.015417906410603144,,66.13999999999987,,-0.03013470958712383,,-0.007277397260273877,,,,0.001605
2015-01-28,0.009149999999999991,,-0.012139196115457218,,96.26999999999998,,-0.038637253622242684,,-0.05969517358171039,,,,0.001607
2015-01-29,0.009149999999999991,,-0.03088391906283272,,110.40000000000009,,-0.02295387069614918,,-0.05889724310776945,,,,0.001608
2015-01-30,0.0029799999999999827,,-0.011290322580645218,-0.3017751479289942,106.82000000000016,0.0,-0.03103829975647554,-0.5937999999999981,-0.04952627045650315,,0.0,,0.001594
2015-01-31,0.0029799999999999827,,-0.011290322580645218,-0.3017751479289942,106.82000000000016,-0.07452223484464571,-0.03103829975647554,-0.5937999999999981,-0.04952627045650315,,0.06537312619740021,,0.001594
2015-02-01,0.0029799999999999827,,-0.011290322580645218,-0.2944693572496264,106.82000000000016,-0.07452223484464571,-0.03103829975647554,0.10740000000000194,-0.04435678281832123,,0.06537312619740021,,0.001594
2015-02-02,0.0029799999999999827,,-0.007567567567567601,-0.3004484304932735,128.09000000000015,-0.07452223484464571,-0.03254372371042724,0.17689999999999984,-0.05062205062205061,,0.06537312619740021,,0.00159265
2015-02-03,0.0029799999999999827,,-0.010101010101010055,-0.24663677130044848,166.57999999999993,-0.07452223484464571,0.005052989312704037,-0.037899999999996936,-0.0064683053040104355,,0.06537312619740021,,0.0015908
2015-02-04,0.0029799999999999827,,-0.00519551544982233,-0.23007518796992488,111.25,-0.07452223484464571,-0.01169799526722326,-0.40430000000000277,0.047276001800990564,,0.06537312619740021,,0.0016
2015-02-05,0.0029799999999999827,,0.01461262751585335,-0.17851500789889418,65.56999999999971,-0.07452223484464571,0.004585712358944338,-1.282399999999999,0.04793608521970705,,0.06537312619740021,,0.001596
2015-02-06,-0.0032800000000000606,,-0.003029468465987284,0.037277147487844386,91.2800000000002,-0.07452223484464571,0.0007674250631997115,-1.0361000000000011,0.10058903488898951,,0.06537312619740021,,0.001604
2015-02-07,-0.0032800000000000606,,-0.003029468465987284,0.04404567699836881,91.2800000000002,-0.07452223484464571,0.0007674250631997115,-1.2698,0.10058903488898951,,0.06537312619740021,,0.001604
2015-02-08,-0.0032800000000000606,,-0.003029468465987284,0.10918544194107471,91.2800000000002,-0.07452223484464571,0.0007674250631997115,-1.6677999999999997,0.11163601339265261,,0.06537312619740021,,0.001604
2015-02-09,-0.0032800000000000606,,-0.00027570995312931057,0.11611785095320637,86.09000000000015,-0.07452223484464571,-0.0050899674063490385,-1.572099999999999,0.10528694080433798,,0.06537312619740021,,0.001595
2015-02-10,-0.0032800000000000606,,-0.008241758241758546,0.14384748700173322,52.76999999999998,-0.07452223484464571,-0.00536640360766627,-2.5988000000000007,0.08420138888888906,,0.06537312619740021,,0.001603
2015-02-11,-0.0032800000000000606,,-0.01856908793009282,0.1862567811934901,75.07999999999993,-0.07452223484464571,0.005793165874632189,-2.1754999999999995,0.07179707652622525,,0.06537312619740021,,0.001599
2015-02-12,-0.0032800000000000606,,-0.011538461538461497,0.18574108818011248,124.01999999999998,-0.07452223484464571,0.014059594539434839,-1.5601999999999983,0.06014400677678955,,0.06537312619740021,,0.0015894499999999
2015-02-13,-0.007879999999999998,,-0.024197933659597437,0.30020283975659234,146.53999999999996,-0.07452223484464571,0.030021933832937275,-2.0446000000000026,0.0535199670646358,,0.06537312619740021,,0.001607
2015-02-14,-0.007879999999999998,,-0.024197933659597437,0.4436936936936937,146.53999999999996,-0.07452223484464571,0.030021933832937275,-1.6402999999999999,0.0535199670646358,,0.06537312619740021,,0.001607
2015-02-15,-0.007879999999999998,,-0.024197933659597437,0.3354166666666667,146.53999999999996,-0.07452223484464571,0.030021933832937275,-0.926400000000001,0.05582374056195083,,0.06537312619740021,,0.001607
2015-02-16,-0.007879999999999998,,-0.03077342047930287,0.3354166666666667,132.48000000000002,-0.07452223484464571,0.03162471395880995,-0.926400000000001,0.051962387571545365,,0.06537312619740021,,0.001618
2015-02-17,-0.007879999999999998,,-0.033094318808604584,0.4041666666666668,68.19999999999982,-0.07452223484464571,0.02002135611318745,-1.8765,0.07005604483586869,,0.06537312619740021,,0.00161
2015-02-18,-0.007879999999999998,,-0.014568444200109831,0.26041666666666674,72.86999999999989,-0.07452223484464571,0.02295007906031188,-2.1125000000000007,0.053750501403931006,,0.06537312619740021,,0.001615
2015-02-19,-0.007879999999999998,,-0.027445652173913038,0.27515400410677615,64.97000000000025,-0.07452223484464571,0.025509062430074003,-1.8001000000000005,0.06432281262485029,,0.06537312619740021,,0.001615
2015-02-20,-0.010209999999999941,,-0.018232044198895014,0.2842942345924453,42.9699999999998,-0.07452223484464571,0.024448554287518576,-1.383700000000001,0.04337631887456039,,0.06537312619740021,,0.001617
2015-02-21,-0.010209999999999941,,-0.018232044198895014,0.23518164435946454,42.9699999999998,-0.07452223484464571,0.024448554287518576,-1.2194000000000003,0.04337631887456039,,0.06537312619740021,,0.001617
2015-02-22,-0.010209999999999941,,-0.018232044198895014,0.2945891783567134,42.9699999999998,-0.07452223484464571,0.024448554287518576,-1.5352999999999994,0.037358343102774416,,0.06537312619740021,,0.001617
2015-02-23,-0.010209999999999941,,-0.009928295642581242,0.222444889779559,100.36999999999989,-0.07452223484464571,0.018444554144414926,-2.1128,0.005790680502117951,,0.06537312619740021,,0.001625
2015-02-24,-0.010209999999999941,,0.008033240997229907,0.1242484969939881,82.00999999999976,-0.07452223484464571,0.046653971708378705,-2.0321,-0.05536849981294434,,0.06537312619740021,,0.001608
2015-02-25,-0.010209999999999941,,-0.0011129660545352582,0.1663479923518163,65.60000000000036,-0.07452223484464571,0.030598929037483735,-2.633200000000002,-0.04872478111914724,,0.06537312619740021,,0.001617
2015-02-26,-0.010209999999999941,,-0.01334074485825465,0.27450980392156854,25.079999999999927,-0.07452223484464571,0.04029697213649985,-3.7957,-0.049174174174174246,,0.06537312619740021,,0.00162
2015-02-27,-0.009460000000000024,,-0.009752020061298605,0.3096234309623431,0.4499999999998181,-0.07452223484464571,0.03717670023512709,-3.7387000000000015,-0.053932584269663075,,0.06537312619740021,,0.001617
2015-02-28,-0.009460000000000024,,-0.009752020061298605,0.2038461538461538,0.4499999999998181,-0.11707433294040903,0.03717670023512709,-2.7657999999999987,-0.053932584269663075,,0.4140297992500024,,0.001617
2015-03-01,-0.009460000000000024,,-0.009752020061298605,0.326271186440678,0.4499999999998181,-0.11707433294040903,0.03717670023512709,-3.0059000000000005,-0.04750244857982355,-0.2922955974842768,0.4140297992500024,-0.0634340840664358,0.001617
2015-03-02,-0.009460000000000024,,-0.0030907558302893934,0.40254237288135597,-53.08000000000038,-0.045978520173977744,0.01907634976265471,-3.2729,0.00888717156105101,-0.33340620900743334,0.3486566730526022,-0.0634340840664358,0.001622
2015-03-03,-0.009460000000000024,,0.01768397033656588,0.4449152542372883,-17.36999999999989,-0.045978520173977744,0.00047980458867669107,-4.341000000000001,0.042376237623762414,-0.5956624436332403,0.3486566730526022,-0.0634340840664358,0.001622
2015-03-04,-0.009460000000000024,,0.007810320781032054,0.42521367521367526,-27.159999999999854,-0.045978520173977744,-0.005255487347082921,-3.4416999999999973,0.056422569027611,0.13004146249528836,0.3486566730526022,-0.0634340840664358,0.001621
2015-03-05,-0.009460000000000024,,0.007823414361553427,0.2757936507936509,-43.24000000000024,-0.045978520173977744,-0.025485489853807608,-3.5374000000000017,0.04026845637583887,-0.5769372241294752,0.3486566730526022,-0.0634340840664358,0.001618
2015-03-06,-0.005769999999999942,,0.023353967360720596,0.412109375,-60.59999999999991,-0.045978520173977744,-0.01721632689005337,-3.4593999999999987,0.08471892319873331,-0.47981469225678364,0.3486566730526022,-0.0634340840664358,0.00161
2015-03-07,-0.005769999999999942,,0.023353967360720596,0.39038461538461533,-60.59999999999991,-0.045978520173977744,-0.01721632689005337,-3.4405,0.08471892319873331,-0.15094781184179729,0.3486566730526022,-0.0634340840664358,0.00161
2015-03-08,-0.005769999999999942,,0.023353967360720596,0.12968749999999996,-60.59999999999991,-0.045978520173977744,-0.01721632689005337,-3.7058,0.08653351789598562,0.23503675183759176,0.3486566730526022,-0.0634340840664358,0.00161
2015-03-09,-0.005769999999999942,,0.013927576601671321,0.09375,-133.5,-0.045978520173977744,-0.008240063452895074,-4.065999999999999,0.03676752202221367,0.06296171927468097,0.3486566730526022,-0.0634340840664358,0.001595
2015-03-10,-0.005769999999999942,,-0.006320417697169511,0.06875000000000009,-116.32999999999993,-0.045978520173977744,-0.03361490145115875,-4.3081,-0.004939209726443683,0.9160854893138357,0.3486566730526022,-0.0634340840664358,0.001593
